experiment_id,timestamp,pipeline_type,dataset_type,dataset_size,anonymization_method,anonymization_params,pure_processing_time_seconds,pre_processing_time_seconds,post_processing_time_seconds,total_time_seconds,records_processed,records_per_second,violations_detected,violation_rate,memory_usage_mb,cpu_usage_percent,anonymization_overhead_seconds,compliance_check_time_seconds,avg_latency_ms,max_latency_ms,min_latency_ms,latency_std_ms,subprocess_overhead_ms,e2e_latency_ms,router_time_ms,stream_percentage,batch_percentage,information_loss_score,utility_preservation_score,privacy_level_score,success,error_message,notes
batch_healthcare_20000_k_anonymity_1752935778,2025-07-19T15:36:18.907302,batch,healthcare,20000,k_anonymity,"{""k_value"": 3}",3.529341220855713,0,0,3.529341220855713,20000,5666.779931001079,20000,1.0,146.703125,34.9,0.05765962600708008,0.1294691562652588,0.17646706104278564,0.17646706104278564,0.17646706104278564,0,0,0.17646706104278564,0,0,0,0.34797077922077924,0.6520292207792208,0.6666666666666667,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_20000_k_anonymity_1752935785,2025-07-19T15:36:25.881314,batch,healthcare,20000,k_anonymity,"{""k_value"": 5}",3.6081249713897705,0,0,3.6081249713897705,20000,5543.045254415464,20000,1.0,112.734375,42.0,0.05878472328186035,0.14443016052246094,0.18040624856948853,0.18040624856948853,0.18040624856948853,0,0,0.18040624856948853,0,0,0,0.3516842532467533,0.6483157467532468,0.8,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_20000_k_anonymity_1752935792,2025-07-19T15:36:32.388175,batch,healthcare,20000,k_anonymity,"{""k_value"": 10}",3.388695001602173,0,0,3.388695001602173,20000,5901.977011960065,20000,1.0,102.734375,12.8,0.04645562171936035,0.11862707138061523,0.16943475008010864,0.16943475008010864,0.16943475008010864,0,0,0.16943475008010864,0,0,0,0.3516842532467533,0.6483157467532468,0.9,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_20000_k_anonymity_1752935798,2025-07-19T15:36:38.804478,batch,healthcare,20000,k_anonymity,"{""k_value"": 15}",3.289975166320801,0,0,3.289975166320801,20000,6079.073241870735,20000,1.0,110.96875,30.5,0.04219365119934082,0.1366410255432129,0.16449875831604005,0.16449875831604005,0.16449875831604005,0,0,0.16449875831604005,0,0,0,0.3538758116883117,0.6461241883116884,0.9333333333333333,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_20000_differential_privacy_1752935805,2025-07-19T15:36:45.283889,batch,healthcare,20000,differential_privacy,"{""epsilon"": 0.1}",3.3850340843200684,0,0,3.3850340843200684,20000,5908.360005189514,20000,1.0,86.84375,12.0,0.2571439743041992,0.15696024894714355,0.1692517042160034,0.1692517042160034,0.1692517042160034,0,0,0.1692517042160034,0,0,0,0.2704148930583204,0.7295851069416797,0.09516258196407461,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_20000_differential_privacy_1752935811,2025-07-19T15:36:51.559488,batch,healthcare,20000,differential_privacy,"{""epsilon"": 0.5}",3.1811490058898926,0,0,3.1811490058898926,20000,6287.036527672873,20000,1.0,109.59375,10.2,0.22180509567260742,0.1229102611541748,0.15905745029449464,0.15905745029449464,0.15905745029449464,0,0,0.15905745029449464,0,0,0,0.265763015625644,0.7342369843743559,0.3934693402872647,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_20000_differential_privacy_1752935818,2025-07-19T15:36:58.691090,batch,healthcare,20000,differential_privacy,"{""epsilon"": 1.0}",3.7596797943115234,0,0,3.7596797943115234,20000,5319.601959257389,20000,1.0,101.8125,29.3,0.4454176425933838,0.2130732536315918,0.18798398971557617,0.18798398971557617,0.18798398971557617,0,0,0.18798398971557617,0,0,0,0.27042249950072766,0.7295775004992723,0.6321205588284299,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_20000_differential_privacy_1752935825,2025-07-19T15:37:05.623941,batch,healthcare,20000,differential_privacy,"{""epsilon"": 2.0}",3.912245988845825,0,0,3.912245988845825,20000,5112.152982461187,20000,1.0,127.3125,36.6,0.26714539527893066,0.14382028579711914,0.19561229944229125,0.19561229944229125,0.19561229944229125,0,0,0.19561229944229125,0,0,0,0.27616972172294996,0.72383027827705,0.8646647167629213,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_20000_tokenization_1752935831,2025-07-19T15:37:11.816462,batch,healthcare,20000,tokenization,"{""key_length"": 128}",3.148054599761963,0,0,3.148054599761963,20000,6353.12996207635,20000,1.0,128.484375,34.4,0.2778964042663574,0.1473538875579834,0.15740272998809815,0.15740272998809815,0.15740272998809815,0,0,0.15740272998809815,0,0,0,0.3030927677274568,0.6969072322725433,0.25,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_20000_tokenization_1752935838,2025-07-19T15:37:18.122832,batch,healthcare,20000,tokenization,"{""key_length"": 256}",3.249516010284424,0,0,3.249516010284424,20000,6154.762720571867,20000,1.0,88.890625,10.8,0.2209489345550537,0.1068887710571289,0.1624758005142212,0.1624758005142212,0.1624758005142212,0,0,0.1624758005142212,0,0,0,0.3031234684894192,0.6968765315105807,0.5,True,,TRUE COLD START: Batch processing with tokenization
