experiment_id,timestamp,pipeline_type,dataset_type,dataset_size,anonymization_method,anonymization_params,pure_processing_time_seconds,pre_processing_time_seconds,post_processing_time_seconds,total_time_seconds,records_processed,records_per_second,violations_detected,violation_rate,memory_usage_mb,cpu_usage_percent,anonymization_overhead_seconds,compliance_check_time_seconds,avg_latency_ms,max_latency_ms,min_latency_ms,latency_std_ms,e2e_latency_ms,router_time_ms,stream_percentage,batch_percentage,information_loss_score,utility_preservation_score,privacy_level_score,success,error_message,notes
batch_healthcare_20000_k_anonymity_1752868660,2025-07-18T20:57:40.973764,batch,healthcare,20000,k_anonymity,"{""k_value"": 3}",3.3803648948669434,0,0,3.3803648948669434,20000,5916.521033090196,20000,1.0,135.984375,10.9,0.060129404067993164,0.15185260772705078,0.15,0.85,0.5,0.16901824474334717,0.16901824474334717,0.16901824474334717,0,0,0.16901824474334717,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_20000_k_anonymity_1752868667,2025-07-18T20:57:47.274654,batch,healthcare,20000,k_anonymity,"{""k_value"": 5}",3.297516107559204,0,0,3.297516107559204,20000,6065.171282757992,20000,1.0,103.75,37.3,0.045812129974365234,0.10644936561584473,0.25,0.75,0.5,0.1648758053779602,0.1648758053779602,0.1648758053779602,0,0,0.1648758053779602,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_20000_k_anonymity_1752868673,2025-07-18T20:57:53.980225,batch,healthcare,20000,k_anonymity,"{""k_value"": 10}",3.689565896987915,0,0,3.689565896987915,20000,5420.69190750261,20000,1.0,80.96875,10.6,0.05470681190490723,0.13834023475646973,0.5,0.5,0.5,0.18447829484939576,0.18447829484939576,0.18447829484939576,0,0,0.18447829484939576,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_20000_k_anonymity_1752868680,2025-07-18T20:58:00.148571,batch,healthcare,20000,k_anonymity,"{""k_value"": 15}",3.1926310062408447,0,0,3.1926310062408447,20000,6264.42578578755,20000,1.0,108.015625,8.6,0.03960227966308594,0.1040799617767334,0.75,0.25,0.5,0.15963155031204224,0.15963155031204224,0.15963155031204224,0,0,0.15963155031204224,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_20000_differential_privacy_1752868686,2025-07-18T20:58:06.409343,batch,healthcare,20000,differential_privacy,"{""epsilon"": 0.1}",3.280405044555664,0,0,3.280405044555664,20000,6096.8080856945,20000,1.0,103.03125,19.3,0.29418468475341797,0.18516802787780762,0.9,0.09999999999999998,0.5,0.16402025222778321,0.16402025222778321,0.16402025222778321,0,0,0.16402025222778321,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_20000_differential_privacy_1752868692,2025-07-18T20:58:12.595134,batch,healthcare,20000,differential_privacy,"{""epsilon"": 0.5}",3.2408151626586914,0,0,3.2408151626586914,20000,6171.286851050293,20000,1.0,94.234375,11.7,0.25159645080566406,0.14165592193603516,0.5,0.5,0.5,0.16204075813293456,0.16204075813293456,0.16204075813293456,0,0,0.16204075813293456,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_20000_differential_privacy_1752868698,2025-07-18T20:58:18.975083,batch,healthcare,20000,differential_privacy,"{""epsilon"": 1.0}",3.280190944671631,0,0,3.280190944671631,20000,6097.206027743038,20000,1.0,111.265625,12.3,0.22101092338562012,0.11681747436523438,0.0,1.0,0.5,0.16400954723358155,0.16400954723358155,0.16400954723358155,0,0,0.16400954723358155,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_20000_differential_privacy_1752868705,2025-07-18T20:58:25.253064,batch,healthcare,20000,differential_privacy,"{""epsilon"": 2.0}",3.294110059738159,0,0,3.294110059738159,20000,6071.442555744404,20000,1.0,100.6875,9.5,0.2963707447052002,0.13030028343200684,0.0,1.0,0.5,0.16470550298690795,0.16470550298690795,0.16470550298690795,0,0,0.16470550298690795,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_20000_tokenization_1752868711,2025-07-18T20:58:31.582603,batch,healthcare,20000,tokenization,"{""key_length"": 128}",3.24806809425354,0,0,3.24806809425354,20000,6157.506375985116,20000,1.0,92.1875,13.8,0.24567174911499023,0.11866593360900879,0.5,0.5,0.5,0.162403404712677,0.162403404712677,0.162403404712677,0,0,0.162403404712677,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_20000_tokenization_1752868717,2025-07-18T20:58:37.780418,batch,healthcare,20000,tokenization,"{""key_length"": 256}",3.2307939529418945,0,0,3.2307939529418945,20000,6190.428820689233,20000,1.0,101.515625,9.5,0.29727625846862793,0.1399681568145752,0.5,0.5,0.5,0.16153969764709472,0.16153969764709472,0.16153969764709472,0,0,0.16153969764709472,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
