experiment_id,timestamp,pipeline_type,dataset_type,dataset_size,anonymization_method,anonymization_params,pure_processing_time_seconds,pre_processing_time_seconds,post_processing_time_seconds,total_time_seconds,records_processed,records_per_second,violations_detected,violation_rate,memory_usage_mb,cpu_usage_percent,anonymization_overhead_seconds,compliance_check_time_seconds,avg_latency_ms,max_latency_ms,min_latency_ms,latency_std_ms,e2e_latency_ms,router_time_ms,stream_percentage,batch_percentage,information_loss_score,utility_preservation_score,privacy_level_score,success,error_message,notes
batch_healthcare_500_k_anonymity_1752859678,2025-07-18T18:27:58.155387,batch,healthcare,500,k_anonymity,"{""k_value"": 3}",2.7002499103546143,0,0,2.7002499103546143,500,185.16804614367592,500,1.0,75.34375,13.5,0.0014643669128417969,0.00532078742980957,0.15,0.85,0.5,5.4004998207092285,5.4004998207092285,5.4004998207092285,0,0,5.4004998207092285,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_500_k_anonymity_1752859683,2025-07-18T18:28:03.595429,batch,healthcare,500,k_anonymity,"{""k_value"": 5}",2.3989131450653076,0,0,2.3989131450653076,500,208.42772112384588,500,1.0,39.21875,14.7,0.0014781951904296875,0.008596420288085938,0.25,0.75,0.5,4.797826290130615,4.797826290130615,4.797826290130615,0,0,4.797826290130615,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_500_k_anonymity_1752859689,2025-07-18T18:28:09.312874,batch,healthcare,500,k_anonymity,"{""k_value"": 10}",2.7141528129577637,0,0,2.7141528129577637,500,184.2195463766545,500,1.0,50.1875,44.1,0.0013990402221679688,0.005589008331298828,0.5,0.5,0.5,5.428305625915527,5.428305625915527,5.428305625915527,0,0,5.428305625915527,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_500_k_anonymity_1752859694,2025-07-18T18:28:14.719323,batch,healthcare,500,k_anonymity,"{""k_value"": 15}",2.4709601402282715,0,0,2.4709601402282715,500,202.3504919645564,500,1.0,48.703125,15.7,0.0009653568267822266,0.004511356353759766,0.75,0.25,0.5,4.941920280456543,4.941920280456543,4.941920280456543,0,0,4.941920280456543,0,0,0,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_500_differential_privacy_1752859700,2025-07-18T18:28:20.260277,batch,healthcare,500,differential_privacy,"{""epsilon"": 0.1}",2.44582200050354,0,0,2.44582200050354,500,204.4302487658796,500,1.0,36.765625,30.5,0.006085872650146484,0.004531383514404297,0.9,0.09999999999999998,0.5,4.89164400100708,4.89164400100708,4.89164400100708,0,0,4.89164400100708,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_500_differential_privacy_1752859705,2025-07-18T18:28:25.554011,batch,healthcare,500,differential_privacy,"{""epsilon"": 0.5}",2.3579161167144775,0,0,2.3579161167144775,500,212.0516486806581,500,1.0,48.890625,24.7,0.01656627655029297,0.007934808731079102,0.5,0.5,0.5,4.715832233428955,4.715832233428955,4.715832233428955,0,0,4.715832233428955,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_500_differential_privacy_1752859711,2025-07-18T18:28:31.040579,batch,healthcare,500,differential_privacy,"{""epsilon"": 1.0}",2.4149019718170166,0,0,2.4149019718170166,500,207.04774182771106,500,1.0,39.8125,12.2,0.010133981704711914,0.004634380340576172,0.0,1.0,0.5,4.829803943634033,4.829803943634033,4.829803943634033,0,0,4.829803943634033,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_500_differential_privacy_1752859716,2025-07-18T18:28:36.293633,batch,healthcare,500,differential_privacy,"{""epsilon"": 2.0}",2.31929612159729,0,0,2.31929612159729,500,215.58264826297903,500,1.0,39.296875,16.7,0.012614250183105469,0.00801396369934082,0.0,1.0,0.5,4.63859224319458,4.63859224319458,4.63859224319458,0,0,4.63859224319458,0,0,0,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_500_tokenization_1752859721,2025-07-18T18:28:41.607197,batch,healthcare,500,tokenization,"{""key_length"": 128}",2.362039089202881,0,0,2.362039089202881,500,211.68150954213692,500,1.0,39.296875,12.6,0.016089677810668945,0.00713801383972168,0.5,0.5,0.5,4.724078178405762,4.724078178405762,4.724078178405762,0,0,4.724078178405762,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_500_tokenization_1752859726,2025-07-18T18:28:46.831202,batch,healthcare,500,tokenization,"{""key_length"": 256}",2.2850780487060547,0,0,2.2850780487060547,500,218.8109068235675,500,1.0,39.109375,8.5,0.008362054824829102,0.005477428436279297,0.5,0.5,0.5,4.570156097412109,4.570156097412109,4.570156097412109,0,0,4.570156097412109,0,0,0,True,,TRUE COLD START: Batch processing with tokenization
