experiment_id,timestamp,pipeline_type,dataset_type,dataset_size,anonymization_method,anonymization_params,pure_processing_time_seconds,pre_processing_time_seconds,post_processing_time_seconds,total_time_seconds,records_processed,records_per_second,violations_detected,violation_rate,memory_usage_mb,cpu_usage_percent,anonymization_overhead_seconds,compliance_check_time_seconds,avg_latency_ms,max_latency_ms,min_latency_ms,latency_std_ms,e2e_latency_ms,information_loss_score,utility_preservation_score,privacy_level_score,success,error_message,notes
batch_healthcare_1000_k_anonymity_1752761534,2025-07-17T15:12:14.134487,batch,healthcare,1000,k_anonymity,"{""k_value"": 3}",2.4709460735321045,0,0,2.4709460735321045,1000,404.7032878263287,1000,1.0,76.4375,0.0,0.002000570297241211,0.006939411163330078,0.15,0.85,0.5,2.4709460735321045,2.4709460735321045,2.4709460735321045,0,2.4709460735321045,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_1000_k_anonymity_1752761539,2025-07-17T15:12:19.340802,batch,healthcare,1000,k_anonymity,"{""k_value"": 5}",2.285727024078369,0,0,2.285727024078369,1000,437.4975618110878,1000,1.0,88.875,5.8,0.002508401870727539,0.007681369781494141,0.25,0.75,0.5,2.285727024078369,2.285727024078369,2.285727024078369,0,2.285727024078369,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_1000_k_anonymity_1752761544,2025-07-17T15:12:24.517609,batch,healthcare,1000,k_anonymity,"{""k_value"": 10}",2.2435801029205322,0,0,2.2435801029205322,1000,445.7162009496659,1000,1.0,88.828125,5.8,0.0021615028381347656,0.006791830062866211,0.5,0.5,0.5,2.2435801029205322,2.2435801029205322,2.2435801029205322,0,2.2435801029205322,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_1000_k_anonymity_1752761549,2025-07-17T15:12:29.649389,batch,healthcare,1000,k_anonymity,"{""k_value"": 15}",2.2250518798828125,0,0,2.2250518798828125,1000,449.42772303029057,1000,1.0,88.78125,3.6,0.001306295394897461,0.004973888397216797,0.75,0.25,0.5,2.2250518798828125,2.2250518798828125,2.2250518798828125,0,2.2250518798828125,True,,TRUE COLD START: Batch processing with k_anonymity
batch_healthcare_1000_differential_privacy_1752761554,2025-07-17T15:12:34.859589,batch,healthcare,1000,differential_privacy,"{""epsilon"": 0.1}",2.262598991394043,0,0,2.262598991394043,1000,441.9696127345462,1000,1.0,89.0,8.8,0.013829708099365234,0.008193731307983398,0.9,0.09999999999999998,0.5,2.262598991394043,2.262598991394043,2.262598991394043,0,2.262598991394043,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_1000_differential_privacy_1752761560,2025-07-17T15:12:40.018080,batch,healthcare,1000,differential_privacy,"{""epsilon"": 0.5}",2.2211179733276367,0,0,2.2211179733276367,1000,450.2237215710875,1000,1.0,89.5,14.2,0.010600805282592773,0.006619930267333984,0.5,0.5,0.5,2.2211179733276367,2.2211179733276367,2.2211179733276367,0,2.2211179733276367,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_1000_differential_privacy_1752761565,2025-07-17T15:12:45.241810,batch,healthcare,1000,differential_privacy,"{""epsilon"": 1.0}",2.2885220050811768,0,0,2.2885220050811768,1000,436.96324430340303,1000,1.0,88.90625,0.0,0.012466907501220703,0.00703883171081543,0.0,1.0,0.5,2.2885220050811768,2.2885220050811768,2.2885220050811768,0,2.2885220050811768,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_1000_differential_privacy_1752761570,2025-07-17T15:12:50.417978,batch,healthcare,1000,differential_privacy,"{""epsilon"": 2.0}",2.254088878631592,0,0,2.254088878631592,1000,443.63822983194797,1000,1.0,89.0,7.6,0.012681961059570312,0.007089376449584961,0.0,1.0,0.5,2.254088878631592,2.254088878631592,2.254088878631592,0,2.254088878631592,True,,TRUE COLD START: Batch processing with differential_privacy
batch_healthcare_1000_tokenization_1752761575,2025-07-17T15:12:55.975075,batch,healthcare,1000,tokenization,"{""key_length"": 128}",2.60180401802063,0,0,2.60180401802063,1000,384.3487030820901,1000,1.0,83.3125,5.7,0.028387069702148438,0.017184972763061523,0.5,0.5,0.5,2.60180401802063,2.60180401802063,2.60180401802063,0,2.60180401802063,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_1000_tokenization_1752761581,2025-07-17T15:13:01.155031,batch,healthcare,1000,tokenization,"{""key_length"": 256}",2.224386215209961,0,0,2.224386215209961,1000,449.5622177309751,1000,1.0,88.875,2.7,0.011464834213256836,0.008779525756835938,0.5,0.5,0.5,2.224386215209961,2.224386215209961,2.224386215209961,0,2.224386215209961,True,,TRUE COLD START: Batch processing with tokenization
batch_healthcare_1000_tokenization_1752761586,2025-07-17T15:13:06.341364,batch,healthcare,1000,tokenization,"{""key_length"": 512}",2.251585006713867,0,0,2.251585006713867,1000,444.1315770970936,1000,1.0,89.046875,5.8,0.010571956634521484,0.007139444351196289,0.5,0.5,0.5,2.251585006713867,2.251585006713867,2.251585006713867,0,2.251585006713867,True,,TRUE COLD START: Batch processing with tokenization
batch_financial_1000_k_anonymity_1752761591,2025-07-17T15:13:11.490844,batch,financial,1000,k_anonymity,"{""k_value"": 3}",2.2089178562164307,0,0,2.2089178562164307,1000,452.71036095152084,891,0.891,88.765625,6.3,0.0013315677642822266,0.0026264190673828125,0.15,0.85,0.5,2.2089178562164307,2.2089178562164307,2.2089178562164307,0,2.2089178562164307,True,,TRUE COLD START: Batch processing with k_anonymity
